Quote,Citation / Link,Date,Type,Involving? ,Timestamp (if applicable),Footnotes (if applicable),,
"""If I see a Black pilot, I’m going to be like, boy, I hope he’s qualified."" ",https://x.com/patriottakes/status/1749934177548669218,1/23/2024,Video,Racism,,,,
"""If you’re a WNBA, pot-smoking, Black lesbian, do you get treated better than a United States marine?""",,12/8/2022,Video,Racism,,,,
"""Happening all the time in urban America, prowling Blacks go around for fun to go target white people, that’s a fact. It’s happening more and more.""",https://www.mediamatters.org/charlie-kirk/charlie-kirk-goes-unhinged-racist-rant-prowling-blacks-go-around-fun-go-target-white,5/19/2023,Video,Racism,,,,
"""If I’m dealing with somebody in customer service who’s a moronic Black woman, I wonder is she there because of her excellence, or is she there because of affirmative action?""",https://x.com/DreamAmerica_/status/1897703102439936038,1/3/2024,Video,Racism,,,,
"""f we would have said that Joy Reid and Michelle Obama and Sheila Jackson Lee and Ketanji Brown Jackson were affirmative action picks, we would have been called racists. Now they’re coming out and they’re saying it for us … You do not have the brain processing power to otherwise be taken really seriously. You had to go steal a white person’s slot to go be taken somewhat seriously.""",https://x.com/Ronxyz00/status/1967656828265021537,7/13/2023,Video,Racism,,,,
"""We need to have a Nuremberg-style trial for every gender-affirming clinic doctor. We need it immediately.""",https://www.mediamatters.org/charlie-kirk/charlie-kirk-we-need-have-nuremberg-style-trial-every-gender-affirming-clinic-doctor,4/1/2024,Video,Homophobia/Transphobia,,,,
“There's a direct connection to inflation and the trans issue”,https://t.co/44UP6Aolia,4/13/2022,Audio,Homophobia/Transphobia,,,,
" ""[January 6th rioters] didn’t smash a window, but they have been charged federally for trespassing and called insurrectionists for the rest of their life. ... They should have stripped naked and filmed themselves having gay sex.""",https://x.com/AriDrennen/status/1753150180285894732?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1753150180285894732%7Ctwgr%5E2a22975d904d6caecd84492755b3ec129a558fe8%7Ctwcon%5Es1_c10&ref_url=https%3A%2F%2Fwww.advocate.com%2Fpolitics%2Fcharlie-kirk-anti-lgbtq-quotes,2/1/2024,Video,Misc Fascism,,,,
"Birth control like really screws up female brains, by the way... is awful, it’s terrible, and it creates very angry and bitter young ladies and young women.”
",https://rumble.com/v4kqgz5-tpusa-faith-presents-freedom-night-in-america-with-charlie-kirk-live-from-f.html,4/3/2024,Video,Misogyny,,,,-
"“[…] Women should have children, not careers…”",https://www.news18.com/world/have-kids-not-careers-what-charlie-kirk-said-about-fertility-collapse-days-before-his-death-ws-kl-9563942.html,9/8/2025,Text,Misogyny,,,,
"“Black people were better off in slavery and subjugation before the 1940s … It was bad & it was evil, but they committed less crimes.”",https://www.facebook.com/watch/?v=1303579978095032,,,Racism,,,,
"""Reject feminism. Submit to your husband, Taylor. You’re not in charge."" ",https://www.mediamatters.org/charlie-kirk/charlie-kirk-tells-taylor-swift-submit-your-husband-and-have-ton-children,8/26/2025,Video,Misogyny,,,,
“Prowling Blacks go around for fun to go target white people — that’s a fact”,https://www.mediamatters.org/charlie-kirk/charlie-kirk-goes-unhinged-racist-rant-prowling-blacks-go-around-fun-go-target-white,5/19/2023,Video,Racism,,,,
"Reject feminism. Submit to your husband, Taylor. You’re not in charge.",https://www.mediamatters.org/charlie-kirk/charlie-kirk-tells-taylor-swift-submit-your-husband-and-have-ton-children,8/26/2025,,Misogyny,,,,
"I think it’s worth it to have a cost of, unfortunately, some gun deaths every single year so that we can have the second amendment to protect our other God-given rights.",https://www.mediamatters.org/charlie-kirk/charlie-kirk-its-worth-have-cost-unfortunately-some-gun-deaths-every-single-year-so-we,4/5/2023,Video,Misc Fascism,,,,
Islam is the sword the left is using to slit the throat of America.,https://x.com/charliekirk11/status/1965281328108343507,9/8/2023,Text,Islamophobia,,,,
"""America was at its peak when we halted immigration for 40 years and we dropped our foreign-born percentage to its lowest level ever. We should be unafraid to do that.""""",https://www.mediamatters.org/charlie-kirk/charlie-kirk-says-he-cant-find-christ-compassion-long-term-immigrants-who-dont-speak,8/22/2025,Video,Racism,,,,
"""The American Democrat party hates this country. They wanna see it collapse. They love it when America becomes less white.""",,3/20/2024,Video,Misc Fascism,,,,
"""Islam is not Comparable with Western Civilisation""",,,Video,Islamophobia,,,,
“We made a huge mistake when we passed the Civil Rights Act in the mid-1960s.” ,https://www.snopes.com/fact-check/kirk-civil-rights-act-mistake/?utm_medium=Social&utm_source=Facebook#Echobox=1757630271,,,Racism,,,,
"“You might want to crack open that Bible of yours. In a lesser referenced part of the same part of scripture, is in Leviticus 18 is that, ‘thou shalt lay with another man shall be stoned to death.’ Just sayin’! So Miss Rachel, you quote Leviticus 19… the chapter before affirms God’s perfect law when it comes to sexual matters.”",https://x.com/patriottakes/status/1800678317030564306,6/11/2024,Video,Homophobia/Transphobia,,,,
"“It's not a Great Replacement Theory, it's a Great Replacement Reality. Just this year, 3.6 million foreigners will invade America. 10-15 million will enter by the end of Joe Biden's term. Each will probably have 3-5 kids on average while native born Americans have 1.5 per couple. You are being replaced, by design.” ",https://x.com/charliekirk11/status/1740078183284875387,12/27/2023,Text,Racism,,,,
“They aren’t even hiding their intentions. Muslims plan to conquer Europe by demographic replacement. Will Europe wake up in time?”,https://x.com/charliekirk11/status/1962229450374041909,12/27/2023,Text,Islamophobia,,,,
"""""The transgender thing happening in America...is a throbbing middle finger to God""",https://x.com/RightWingWatch/status/1701259614077989121,9/11/2023,Video,Homophobia/Transphobia,,,,
"""[The death penalty] should be public, should be quick, should be televised… I think at a certain age, it’s an initiation… At what age should you start to see public executions?""",https://www.mediamatters.org/charlie-kirk/charlie-kirk-fantasizes-about-children-watching-televised-executions-certain-age-its?utm_source=chatgpt.com,2/16/2024,Video,Misc Fascism,,,,
"“They’re trying to discredit good ideas and good arguments, just because you’re white, and that’s ridiculous”",https://www.splcenter.org/resources/hatewatch/turning-point-usas-blooming-romance-alt-right/,,Text,Racism,,,,
"""Do we want Persians and the Iranians and the ",,,,,0:12,,,
